id.plot,vegbelt,grazing,moisture.index,cwm.abu.sla.log,cwm.abu.gf.shrub,cwm.abu.leg.1,cwm.abu.lf.th,cwm.abu.sla,species_richness,fric,fdis.abu,feve.abu
1nograz.1,1,0,0.39,2.09,0.58,0.04,0,8.05,17,0.01053052433549483,0.22533892605490483,0.6319789273408184
1nograz.2,1,0,0.39,2.12,0.51,0.05,0,8.3,22,0.033108020497301625,0.2436663191738117,0.6385877953466467
1nograz.3,1,0,0.39,1.98,0.46,0.12,0,7.27,19,0.029046347648795375,0.27008843378650255,0.6151040402042813
1nograz.4,1,0,0.39,1.96,0.49,0.07,0,7.1,20,0.02118801595313518,0.2468785893238,0.5801567896675812
1highgraz.1,1,2,0.39,2.07,0.42,0.09,0,7.92,21,0.03682711546465702,0.26769423883498156,0.574443394121599
1highgraz.2,1,2,0.39,2.13,0.41,0.02,0,8.45,19,0.011681013510664954,0.24762454103626863,0.6494098639640128
1highgraz.3,1,2,0.39,2.24,0.21,0.06,0.13,9.41,18,0.0791154051521707,0.27902587432957326,0.6555313040467506
1highgraz.4,1,2,0.39,2.29,0.17,0.11,0.14,9.86,18,0.13359822496593127,0.2826270245998316,0.7111738401701629
1littlegraz.1,1,1,0.39,2.01,0.54,0.02,0,7.48,21,0.019470971518238116,0.22737119900260674,0.5990280718387796
1littlegraz.2,1,1,0.39,1.97,0.54,0.05,0,7.19,18,6.14154113313745e-5,0.2402611730070917,0.5179368468212666
1littlegraz.3,1,1,0.39,1.9,0.34,0.05,0,6.69,16,0.016500330327445252,0.24314050433840162,0.5085945134058564
1littlegraz.4,1,1,0.39,2.03,0.37,0.08,0.05,7.65,18,0.03500041629560402,0.274851081774615,0.6447815147696541
2nograz.1,2,0,0.5,2.33,0.42,0.09,0,10.31,20,0.12492423154608465,0.2637705291202986,0.7209555186271893
2nograz.2,2,0,0.5,2.26,0.32,0.09,0.02,9.6,31,0.0734573415407059,0.26213573665515766,0.6157583661786981
2nograz.3,2,0,0.5,2.08,0.34,0.13,0.03,8.01,24,0.08933583573073829,0.27909545804362507,0.6313037806168822
2nograz.4,2,0,0.5,2.15,0.29,0.12,0.04,8.62,21,0.08926685641280485,0.2749416164616038,0.5870909805478366
2highgraz.1,2,2,0.5,2.6,0.01,0.06,0.28,13.45,19,0.017843320094804955,0.26102985133313666,0.627331683126431
2highgraz.2,2,2,0.5,2.77,0,0.14,0.52,16,8,1.136067672929151e-8,0.2642060624446396,0.6657698086732755
2highgraz.3,2,2,0.5,2.28,0,0.02,0.17,9.8,14,3.7495124234186093e-4,0.2479854692026878,0.5936790265076298
2highgraz.4,2,2,0.5,2.4,0.23,0.17,0.16,11.02,16,0.12785441472206285,0.3163311294975498,0.7408749377306191
2littlegraz.1,2,1,0.5,2.38,0.33,0.07,0.04,10.78,33,0.0865235142976856,0.26079871179532815,0.6524194648749562
2littlegraz.2,2,1,0.5,2.39,0.15,0.09,0.08,10.86,27,0.1556781596233745,0.2707329404787112,0.6857632561247302
2littlegraz.3,2,1,0.5,2.31,0.16,0.09,0.14,10.08,21,0.12299372431714849,0.28097729900123297,0.7164666234351305
2littlegraz.4,2,1,0.5,2.23,0.17,0.11,0.1,9.27,18,0.09177771163283206,0.28911667712934513,0.6915387741852691
3nograz.1,3,0,0.72,2.35,0.26,0.03,0,10.47,26,0.05767053635963186,0.24763645134203718,0.5722041865498757
3nograz.2,3,0,0.72,2.27,0.57,0.17,0.02,9.68,20,0.07763651641184147,0.2682021010926647,0.5872782325404643
3nograz.3,3,0,0.72,2.3,0.5,0.08,0,10.01,18,0.06768785197121627,0.25811061153521997,0.60783877414515
3nograz.4,3,0,0.72,2.19,0.47,0.09,0,8.91,19,0.020618096674635832,0.25825427594009953,0.599003911066954
3highgraz.1,3,2,0.72,2.42,0.17,0.14,0.05,11.2,36,0.30557763936367416,0.2853087155623681,0.5974251256945919
3highgraz.2,3,2,0.72,2.27,0.27,0.13,0,9.72,20,0.09824160191266211,0.2881710483246815,0.6776383532962817
3highgraz.3,3,2,0.72,2.25,0.21,0.13,0.03,9.48,34,0.3572411630857582,0.2816487786008376,0.6330396372159431
3highgraz.4,3,2,0.72,2.29,0.31,0.11,0.05,9.87,34,0.265314783964831,0.28597514702762283,0.6126244233292707
3littlegraz.1,3,1,0.72,2.32,0.24,0.1,0.03,10.16,32,0.2856638909038354,0.2816565818361065,0.6783605561715111
3littlegraz.2,3,1,0.72,2.4,0.27,0.17,0,11.04,39,0.2595189739516916,0.2979515747182827,0.6820234000955292
3littlegraz.3,3,1,0.72,2.24,0.26,0.09,0.02,9.42,35,0.22161161414336703,0.27345836600459295,0.6035799385347707
3littlegraz.4,3,1,0.72,2.18,0.31,0.18,0,8.85,33,0.09809762323811956,0.29355159110321316,0.5849130262895099
4nograz.1,4,0,1.34,2.56,0.23,0.02,0,12.96,19,3.796958016925888e-4,0.1974905397182069,0.5593882993644107
4nograz.2,4,0,1.34,2.45,0.28,0.06,0,11.54,31,0.18557534785799126,0.25923191820653585,0.4896509385672329
4nograz.3,4,0,1.34,2.4,0.3,0.01,0,11.02,24,0.05695069726745711,0.24433259143310243,0.54620233588377
4nograz.4,4,0,1.34,2.42,0.28,0.01,0,11.21,29,0.061122559655684444,0.24515423087517796,0.580329062959965
4highgraz.1,4,2,1.34,2.51,0.07,0.17,0.04,12.26,32,0.17610354638119688,0.27364652686545204,0.6722412719555945
4highgraz.2,4,2,1.34,2.58,0.07,0.03,0.05,13.19,30,0.09741015027010137,0.22634637600454183,0.6421626655708886
4highgraz.3,4,2,1.34,2.33,0.1,0.16,0,10.25,33,0.10759493093029583,0.278114612070464,0.6506755612494268
4highgraz.4,4,2,1.34,2.3,0.06,0.16,0,10.02,32,0.1010087446256281,0.27775459163836436,0.5841724121636284
4littlegraz.1,4,1,1.34,2.47,0.17,0.06,0,11.81,24,0.11564596324368677,0.22247849490686306,0.5649255098907264
4littlegraz.2,4,1,1.34,2.43,0.09,0.1,0,11.38,36,0.17479834876164682,0.237650357044278,0.5058779497118144
4littlegraz.3,4,1,1.34,2.35,0.15,0.15,0,10.49,38,0.1790493990628982,0.28309990663217743,0.649221186390164
4littlegraz.4,4,1,1.34,2.42,0.13,0.11,0,11.29,35,0.18474665034989404,0.2740307620039197,0.6048583424646793
5nograz.1,5,0,2.05,2.63,0.06,0.03,0.02,13.91,25,0.04312476832975955,0.21930684829449582,0.6356019982023777
5nograz.2,5,0,2.05,2.64,0.07,0.02,0.02,13.98,20,0.03001436617560464,0.2295845612416485,0.6380478938372907
5nograz.3,5,0,2.05,2.53,0.06,0.02,0,12.53,29,0.04759935646504273,0.22248736590575052,0.5536961876133213
5nograz.4,5,0,2.05,2.5,0.05,0.02,0,12.13,29,0.03033892492039162,0.23418799705123497,0.6615642375425367
5highgraz.1,5,2,2.05,2.62,0.02,0.1,0.02,13.74,36,0.07745788665751105,0.21829097282096654,0.6176805318527935
5highgraz.2,5,2,2.05,2.54,0.03,0.07,0,12.65,33,0.05254644839574306,0.22405769374364168,0.6441695298230629
5highgraz.3,5,2,2.05,2.57,0,0.05,0,13.01,29,5.241944800650633e-4,0.2241322936502631,0.5504955553066032
5highgraz.4,5,2,2.05,2.5,0,0.04,0,12.23,30,7.464251072562785e-4,0.23039380516860006,0.6738781710057378
5littlegraz.1,5,1,2.05,2.56,0.05,0.03,0.01,12.97,33,0.06555715115132997,0.21231419133840845,0.6141584698150285
5littlegraz.2,5,1,2.05,2.62,0.05,0.04,0,13.8,31,0.04285311349272713,0.197826769268627,0.6049119985762229
5littlegraz.3,5,1,2.05,2.52,0.04,0.05,0.01,12.37,36,0.0895561280279719,0.23968778425900228,0.5947830352760619
5littlegraz.4,5,1,2.05,2.5,0.05,0.05,0,12.14,33,0.09421357894360663,0.23665598613591976,0.5672428990171149
