IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6,accepted_name
0,0,0,0.5,0,0,0,0,0,0,0,0,Aconitum lycoctonum
8.75,2,18.75,8.75,37.5,37.5,8.75,18.75,18.75,18.75,8.75,8.75,Aegopodium podagraria
0,0,0,0,0,0,0,0,0.5,0,0,0,Agrostis gigantea
0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,Angelica sylvestris
0.5,0,0,0,0,0,0,0,0,0,0,0,Aquilegia atrata
2,0.5,4,2,8.75,8.75,4,8.75,4,2,2,0,Asarum europaeum
0,0.5,4,0,0,0,4,2,0.5,2,0,0,Calamagrostis epigejos
0,0,0,0,0,0,0,0,0.5,0,0.5,0,Cardamine impatiens
0,0,0,0,0,0,0,0.5,4,0,0.5,4,Cardamine trifolia
0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,Carduus personata
62.5,62.5,18.75,37.5,0.5,18.75,0,0.5,0.5,0.5,0.5,0,Carex acutiformis
0,0.5,37.5,0,2,0,18.75,8.75,0.5,0,0,0,Carex alba
0,0,0,0,0,0,0,0,0.5,0,0,0,Carex digitata
0,0,0,0,2,0.5,2,0,0,0,0,0,Carex pendula
0,0,0,0.5,0,0,0,0,0,0.5,0,0,Carex sylvatica
0.5,0,0,0,0,0,0,0,0,0,0,0,Cicuta virosa
0,0.5,0,0,0,0,0,0,0,0,0,0,Cirsium arvense
8.75,8.75,8.75,2,0,2,0,0,0,0,0,0,Cirsium oleraceum
0,0,0,0,0,0,0,0,0.5,0,0,0,Convallaria majalis
0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,2,0.5,Corydalis cava
0,0,0,0,0,0,0,0,0.5,0,0,0,Dactylis glomerata
0,0.5,0.5,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Deschampsia cespitosa
0,0,0,0,0,0,0,0,0.5,0,0,0,Dipsacus pilosus
0,0,0,0.5,0,0,0,0,0,0,0,0,Dryopteris carthusiana
0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,Equisetum arvense
0,0,0,0,0,0.5,0.5,0,0,0,0,0,Equisetum hyemale
8.75,8.75,4,0.5,0.5,0.5,0,0.5,2,4,0.5,0.5,Eupatorium cannabinum
2,0.5,2,0.5,0.5,2,0,0,0.5,0,0,0.5,Filipendula ulmaria
0,0,0,0,0,0,0,0,0,0.5,2,0,Galium aparine
0,0,0,0,0,0,0,0.5,0,0,0,0,Geranium phaeum
0,0,0,0,0,0,0.5,0,0,0,0,0,Geranium robertianum
0,0,0,0,0,0.5,0,0,0,0,0,0.5,Geum urbanum
0,0,0,0,0,0.5,0.5,0,0,0.5,2,0,Glechoma hederacea
0,0,0,0,0,0.5,0.5,0,0,0,0,0,Gymnadenia odoratissima
0,0,0.5,0.5,2,2,8.75,8.75,18.75,8.75,2,4,Holcus lanatus
0,0,0,0,0,0,0,0,0.5,0,0,0,Holcus mollis
0,0,0,0,0,0,2,4,4,8.75,0,0,Humulus lupulus
0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,Hypericum hirsutum
0,0,0,0,0,0.5,0,0,0,0,0,0,Hypericum tetrapterum
0,0,0.5,2,0.5,0,0,0,0,0,0,0,Knautia dipsacifolia
0,0,0,0,0,0,0,0,0,2,4,2,Lamium maculatum
0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,Lathyrus pratensis
0,0,0,0,0,0,0,0,0,0.5,0,0,Leucanthemum vulgare
1,0,0,0,0,0,0,0,0,0,0,0,Lycopus europaeus
0,0,0,0.5,0,0,0.5,0,0,0,0,0,Lysimachia vulgaris
0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,Melica nutans
0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,Mentha aquatica
8.75,4,4,2,37.5,37.5,4,18.75,18.75,4,0,18.75,Mercurialis perennis
0,0.5,0,0,0,0,0,0,0.5,0,0,0,Molinia arundinacea
0,0,0,0,0,0,0,0,0,0.5,0,0,Molinia caerulea
0,0,0,0,0,0.5,0,0,0,0,0,0,Neottia ovata
0,4,0,0,0,0,0,0,0,0,0,0,Petasites hybridus
0.5,4,0.5,8.75,0.5,8.75,0.5,0,0.5,0.5,2,0,Phalaris arundinacea
0,2,0,0,0,0.5,0,0,0,0,0,0,Phragmites australis
0,0,0,0,0,0,0,0,0,0.5,0,0,Pimpinella major
0.5,0.5,0,0,0,0,0,0,0,0,0,0,Pleurospermum austriacum
0,0,0,0,0,0,0.5,0,0,0,0,0,Poa compressa
0,0,0,0,0,0,0,0,0,0,0.5,0,Poa palustris
0,0,0,0,0,0,0,0,0,0.5,0,0,Prunella vulgaris
0,0.5,2,0,2,0.5,0,2,2,0,0.5,0,Pulmonaria officinalis
0,0,0,0,0,0.5,0,0,0,0,0,0,Ranunculus repens
8.75,8.75,8.75,4,4,37.5,18.75,18.75,37.5,37.5,62.5,18.75,Rubus caesius
0,0,0,0,0,0,0.5,2,0,2,8.75,2,Solidago gigantea
0.5,0,0.5,0.5,2,2,0.5,2,0.5,4,2,0.5,Stachys sylvatica
0,2,0,0,0,2,0,0,0,0,0,0.5,Symphytum officinale
0,0,0,0,0,0,0.5,0,0,0,0,0.5,Thalictrum aquilegiifolium
0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,Valeriana dioica
0,0,0,0,0.5,0,8.75,0.5,0,2,0,0,Vinca minor
0,0,0,0,0,0,0,0,0,0,0,0.5,Viola odorata
